Position,DL_Throughput_Mbps,UL_Throughput_Mbps,DL_Retrans_Percent,UL_Retrans_Percent
9,321.0,254.0,0.0,0.0012614953766194447
10,352.0,251.0,0.0,0.013508721568362574
8,345.0,283.0,0.0,0.002558788157928405
4,341.0,268.0,0.0015177961599757153,0.0022618720006634826
5,321.0,243.0,0.0,0.0037306627315083483
6,267.0,226.0,0.0,0.0017429497681876807
7,294.0,193.0,0.0,0.0021465215618090886
